year,hdb_resale_transactions,buyer_agent_sides,seller_agent_sides,agent_sides,max_possible_sides,agent_side_penetration,buyer_side_penetration,seller_side_penetration,expected_sides_at_2017_rate,side_gap_vs_2017_rate,penetration_change_vs_2017_pp
2017,20509,12492,18670,31162,41018,0.7597152469647472,0.609098444585304,0.9103320493441903,31162.000000000004,-3.637978807091713e-12,0.0
2018,21561,13269,22405,35674,43122,0.8272807383702054,0.6154167246417142,1.0391447520986967,32760.44087961383,2913.5591203861695,6.75654914054582
2019,22186,11054,19407,30461,44372,0.6864914811142162,0.4982421346795276,0.8747408275489047,33710.084938319764,-3249.0849383197638,-7.322376585053103
2020,23333,12103,20421,32524,46666,0.696952813611623,0.5187074101058586,0.8751982171173874,35452.8717148569,-2928.8717148568976,-6.276243335312426
2021,29087,17002,26976,43978,58174,0.7559734589335442,0.5845222951834153,0.9274246226836731,44195.674776927204,-217.67477692720422,-0.3741788031203064
2022,26720,16484,25122,41606,53440,0.7785553892215569,0.6169161676646706,0.9401946107784431,40599.18279779609,1006.8172022039071,1.8840142256809633
2023,25754,15865,23326,39191,51508,0.7608720975382465,0.6160208123010018,0.9057233827754911,39131.4129406602,59.58705933979945,0.11568505734992351
2024,27832,17609,25037,42646,55664,0.7661325093417649,0.6326889910893935,0.8995760275941362,42288.78950704569,357.21049295431294,0.6417262377017674
2025,25085,16244,23489,39733,50170,0.7919673111421168,0.6475583017739686,0.9363763205102651,38114.91394022137,1618.0860597786304,3.225206417736959
2026,12001,5872,8965,14837,24002,0.6181568202649779,0.48929255895342055,0.7470210815765352,18234.685357647864,-3397.6853576478643,-14.155842669976938
