year,estate_type,hdb_resale_transactions,median_resale_price,mean_resale_price,agent_side_records,agent_side_record_rate
2017,Mature,9055,450888.0,492759.47087355057,13250,0.7316399779127554
2017,Non-mature,11454,396000.0,405253.4188615331,17912,0.7819102496944299
2018,Mature,9175,455000.0,496498.9809264305,14616,0.7965122615803815
2018,Non-mature,12386,390000.0,400379.81798078475,21058,0.8500726626836751
2019,Mature,9100,435000.0,476725.94835164835,11728,0.6443956043956044
2019,Non-mature,13086,390000.0,401131.4080421825,18733,0.7157649396301391
2020,Mature,9916,450000.0,486815.95923356194,12723,0.6415389269866881
2020,Non-mature,13417,420000.0,426754.7020764702,19801,0.7379071327420437
2021,Mature,12781,520000.0,547890.3919004772,18183,0.7113293169548549
2021,Non-mature,16306,470944.0,482764.565187661,25795,0.7909665153931068
2022,Mature,11056,550000.0,584978.7531693198,16531,0.7476031114327062
2022,Non-mature,15664,518000.0,524823.9160923136,25075,0.8004021961184883
2023,Mature,10082,570000.0,605855.256524499,14758,0.7318984328506248
2023,Non-mature,15672,545000.0,549901.6866488004,24433,0.7795112302194998
2024,Mature,10914,624500.0,655064.0391845336,16120,0.7385010078797875
2024,Non-mature,16918,580000.0,585200.9176994916,26526,0.7839579146471214
2025,Mature,10485,674888.0,703542.9812150692,15659,0.7467334287076777
2025,Non-mature,14600,610000.0,615880.5628404109,24074,0.8244520547945206
2026,Mature,5128,700000.0,718591.681076443,6104,0.5951638065522621
2026,Non-mature,6873,608000.0,615933.8463203842,8733,0.635312090790048
