month,hdb_resale_transactions,buyer_agent_sides,seller_agent_sides,agent_sides,max_possible_sides,agent_side_penetration,buyer_side_penetration,seller_side_penetration,year
2017-01-01,1185,1053,1400,2453,2370,1.0350210970464135,0.8886075949367088,1.1814345991561181,2017
2017-02-01,1085,1086,1510,2596,2170,1.1963133640552996,1.0009216589861751,1.391705069124424,2017
2017-03-01,1903,935,1375,2310,3806,0.6069364161849711,0.4913294797687861,0.7225433526011561,2017
2017-04-01,1839,1003,1465,2468,3678,0.6710168569874932,0.545405111473627,0.7966286025013595,2017
2017-05-01,1980,1096,1617,2713,3960,0.6851010101010101,0.5535353535353535,0.8166666666666667,2017
2017-06-01,1747,893,1360,2253,3494,0.6448196908986834,0.5111619919862621,0.7784773898111047,2017
2017-07-01,1780,964,1475,2439,3560,0.6851123595505618,0.5415730337078651,0.8286516853932584,2017
2017-08-01,1960,1046,1588,2634,3920,0.6719387755102041,0.5336734693877551,0.810204081632653,2017
2017-09-01,1680,992,1528,2520,3360,0.75,0.5904761904761905,0.9095238095238095,2017
2017-10-01,1785,1117,1706,2823,3570,0.7907563025210084,0.6257703081232493,0.9557422969187676,2017
2017-11-01,1980,1177,1822,2999,3960,0.7573232323232323,0.5944444444444444,0.9202020202020202,2017
2017-12-01,1585,1130,1824,2954,3170,0.9318611987381703,0.7129337539432177,1.150788643533123,2017
2018-01-01,1072,1225,1859,3084,2144,1.4384328358208955,1.142723880597015,1.734141791044776,2018
2018-02-01,1183,851,1376,2227,2366,0.941251056635672,0.7193575655114116,1.1631445477599325,2018
2018-03-01,1881,1013,1676,2689,3762,0.7147793726741095,0.5385433280170122,0.8910154173312068,2018
2018-04-01,1838,1244,2162,3406,3676,0.926550598476605,0.676822633297062,1.176278563656148,2018
2018-05-01,1740,1372,2372,3744,3480,1.0758620689655172,0.7885057471264367,1.3632183908045976,2018
2018-06-01,1975,969,1716,2685,3950,0.6797468354430379,0.49063291139240506,0.8688607594936709,2018
2018-07-01,2539,942,1655,2597,5078,0.5114218196140212,0.37101220953131153,0.651831429696731,2018
2018-08-01,2067,1249,2049,3298,4134,0.7977745524915336,0.6042573778422835,0.9912917271407837,2018
2018-09-01,1985,1134,1955,3089,3970,0.7780856423173803,0.5712846347607052,0.9848866498740554,2018
2018-10-01,1992,1115,1960,3075,3984,0.7718373493975904,0.5597389558232931,0.9839357429718876,2018
2018-11-01,1866,1143,1962,3105,3732,0.8319935691318328,0.612540192926045,1.0514469453376205,2018
2018-12-01,1423,1012,1663,2675,2846,0.9399156711173577,0.7111735769501054,1.16865776528461,2018
2019-01-01,1550,1036,1759,2795,3100,0.9016129032258065,0.6683870967741935,1.1348387096774193,2019
2019-02-01,1304,678,1166,1844,2608,0.7070552147239264,0.5199386503067485,0.8941717791411042,2019
2019-03-01,1653,709,1254,1963,3306,0.5937689050211736,0.42891712038717483,0.7586206896551724,2019
2019-04-01,1915,714,1317,2031,3830,0.5302872062663185,0.372845953002611,0.6877284595300261,2019
2019-05-01,2070,746,1306,2052,4140,0.4956521739130435,0.36038647342995167,0.6309178743961352,2019
2019-06-01,1884,836,1460,2296,3768,0.6093418259023354,0.4437367303609342,0.7749469214437368,2019
2019-07-01,2114,1081,1905,2986,4228,0.706244087038789,0.511352885525071,0.9011352885525071,2019
2019-08-01,1902,1059,1910,2969,3804,0.7804942166140905,0.556782334384858,1.0042060988433228,2019
2019-09-01,1830,1006,1777,2783,3660,0.7603825136612021,0.5497267759562842,0.9710382513661202,2019
2019-10-01,2206,1074,1856,2930,4412,0.6640979147778785,0.48685403445149594,0.8413417951042611,2019
2019-11-01,1910,997,1710,2707,3820,0.7086387434554974,0.5219895287958115,0.8952879581151832,2019
2019-12-01,1848,1118,1987,3105,3696,0.8400974025974026,0.604978354978355,1.0752164502164503,2019
2020-01-01,1911,1032,1780,2812,3822,0.7357404500261643,0.5400313971742543,0.9314495028780743,2020
2020-02-01,1661,921,1580,2501,3322,0.7528597230583985,0.5544852498494882,0.9512341962673089,2020
2020-03-01,1937,977,1734,2711,3874,0.6997934950955085,0.504388229220444,0.895198760970573,2020
2020-04-01,424,886,1697,2583,848,3.045990566037736,2.089622641509434,4.002358490566038,2020
2020-05-01,363,917,1595,2512,726,3.4600550964187327,2.5261707988980717,4.393939393939394,2020
2020-06-01,2438,241,391,632,4876,0.12961443806398687,0.09885151763740771,0.16037735849056603,2020
2020-07-01,2456,434,716,1150,4912,0.23412052117263843,0.1767100977198697,0.2915309446254072,2020
2020-08-01,2426,1232,2096,3328,4852,0.6859027205276175,0.5078318219291014,0.8639736191261336,2020
2020-09-01,2482,1275,2137,3412,4964,0.6873489121676067,0.5136986301369864,0.8609991941982272,2020
2020-10-01,2427,1467,2391,3858,4854,0.7948084054388134,0.6044499381953028,0.9851668726823238,2020
2020-11-01,2322,1313,2062,3375,4644,0.7267441860465116,0.5654608096468562,0.8880275624461671,2020
2020-12-01,2486,1408,2242,3650,4972,0.7341110217216412,0.5663716814159292,0.9018503620273531,2020
2021-01-01,2491,1383,2175,3558,4982,0.7141710156563629,0.5551987153753513,0.8731433159373746,2021
2021-02-01,2160,1166,1849,3015,4320,0.6979166666666666,0.5398148148148149,0.8560185185185185,2021
2021-03-01,2443,1648,2569,4217,4886,0.8630781825624233,0.6745804338927548,1.0515759312320916,2021
2021-04-01,2333,1373,2267,3640,4666,0.7801114444920703,0.5885126446635234,0.9717102443206173,2021
2021-05-01,1957,1293,2035,3328,3914,0.8502810424118549,0.660705160960654,1.0398569238630557,2021
2021-06-01,2302,1295,2208,3503,4604,0.7608601216333623,0.5625543006081668,0.9591659426585578,2021
2021-07-01,2659,1306,2063,3369,5318,0.6335088379089884,0.49116209101165853,0.7758555848063181,2021
2021-08-01,2739,1318,2109,3427,5478,0.6255932822197883,0.48119751734209565,0.7699890470974808,2021
2021-09-01,2516,1510,2364,3874,5032,0.769872813990461,0.6001589825119237,0.9395866454689984,2021
2021-10-01,2499,1533,2415,3948,4998,0.7899159663865546,0.6134453781512605,0.9663865546218487,2021
2021-11-01,2566,1511,2366,3877,5132,0.7554559625876851,0.5888542478565861,0.9220576773187841,2021
2021-12-01,2422,1666,2556,4222,4844,0.8715937241948802,0.6878612716763006,1.0553261767134599,2021
2022-01-01,2442,1418,2229,3647,4884,0.7467239967239967,0.5806715806715806,0.9127764127764127,2022
2022-02-01,1895,1251,1937,3188,3790,0.8411609498680739,0.6601583113456464,1.0221635883905014,2022
2022-03-01,2262,1511,2262,3773,4524,0.8339964633068081,0.6679929266136163,1.0,2022
2022-04-01,2262,1304,2044,3348,4524,0.7400530503978779,0.5764809902740937,0.9036251105216623,2022
2022-05-01,2154,1252,1966,3218,4308,0.7469823584029712,0.5812441968430826,0.9127205199628597,2022
2022-06-01,2135,1233,2005,3238,4270,0.7583138173302107,0.5775175644028103,0.9391100702576113,2022
2022-07-01,2361,1362,2077,3439,4722,0.7282930961457009,0.576874205844981,0.879711986446421,2022
2022-08-01,2309,1334,2036,3370,4618,0.7297531398873971,0.577739281074058,0.8817669987007363,2022
2022-09-01,2578,1559,2316,3875,5156,0.7515515903801396,0.6047323506594259,0.8983708301008534,2022
2022-10-01,1958,1274,1885,3159,3916,0.8066905005107252,0.6506639427987743,0.9627170582226762,2022
2022-11-01,2130,1587,2365,3952,4260,0.927699530516432,0.7450704225352113,1.1103286384976525,2022
2022-12-01,2234,1399,2000,3399,4468,0.7607430617726052,0.626230975828111,0.8952551477170994,2022
2023-01-01,2551,1211,1752,2963,5102,0.5807526460211682,0.47471579772638184,0.6867894943159545,2023
2023-02-01,1837,1353,1925,3278,3674,0.8922155688622755,0.7365269461077845,1.0479041916167664,2023
2023-03-01,2277,1635,2406,4041,4554,0.8873517786561265,0.7180500658761528,1.0566534914361,2023
2023-04-01,2177,1151,1654,2805,4354,0.6442351860358291,0.5287092328892972,0.7597611391823611,2023
2023-05-01,2245,1357,2121,3478,4490,0.7746102449888641,0.6044543429844098,0.9447661469933185,2023
2023-06-01,1853,1392,2075,3467,3706,0.9355099838100378,0.7512142471667567,1.119805720453319,2023
2023-07-01,2052,1387,2013,3400,4104,0.8284600389863548,0.6759259259259259,0.9809941520467836,2023
2023-08-01,2467,1337,1929,3266,4934,0.6619375760032428,0.5419537900283745,0.781921361978111,2023
2023-09-01,1974,1358,1921,3279,3948,0.8305471124620061,0.6879432624113475,0.9731509625126646,2023
2023-10-01,2189,1356,2008,3364,4378,0.7683873915029694,0.6194609410689813,0.9173138419369575,2023
2023-11-01,2128,1349,2045,3394,4256,0.7974624060150376,0.6339285714285714,0.9609962406015038,2023
2023-12-01,2004,979,1477,2456,4008,0.6127744510978044,0.48852295409181634,0.7370259481037924,2023
2024-01-01,2621,1393,2031,3424,5242,0.6531858069439145,0.5314765356734071,0.7748950782144219,2024
2024-02-01,2123,810,1174,1984,4246,0.467263306641545,0.3815355628827131,0.5529910504003768,2024
2024-03-01,2046,1483,2153,3636,4092,0.8885630498533724,0.7248289345063539,1.052297165200391,2024
2024-04-01,2370,1450,2108,3558,4740,0.7506329113924051,0.6118143459915611,0.889451476793249,2024
2024-05-01,2490,1554,2215,3769,4980,0.7568273092369477,0.6240963855421687,0.8895582329317269,2024
2024-06-01,2171,1345,1907,3252,4342,0.7489636112390603,0.619530170428374,0.8783970520497466,2024
2024-07-01,3036,1695,2397,4092,6072,0.6739130434782609,0.558300395256917,0.7895256916996047,2024
2024-08-01,2591,1574,2292,3866,5182,0.7460439984561945,0.6074874565804709,0.8846005403319182,2024
2024-09-01,2204,1710,2440,4150,4408,0.941470054446461,0.7758620689655172,1.1070780399274047,2024
2024-10-01,2139,1727,2377,4104,4278,0.9593267882187938,0.8073866292660121,1.1112669471715755,2024
2024-11-01,1929,1473,2059,3532,3858,0.9155002592016589,0.7636080870917574,1.0673924313115604,2024
2024-12-01,2112,1395,1884,3279,4224,0.7762784090909091,0.6605113636363636,0.8920454545454546,2024
2025-01-01,2313,1291,1752,3043,4626,0.6578037181150022,0.558149589277994,0.7574578469520103,2025
2025-02-01,2091,1481,2102,3583,4182,0.8567670970827356,0.7082735533237685,1.0052606408417026,2025
2025-03-01,1899,1444,1936,3380,3798,0.889942074776198,0.7604002106371774,1.0194839389152186,2025
2025-04-01,2297,1493,2160,3653,4594,0.7951676099259904,0.6499782324771441,0.9403569873748368,2025
2025-05-01,2266,1209,1760,2969,4532,0.6551191526919682,0.5335392762577229,0.7766990291262136,2025
2025-06-01,2260,1368,1956,3324,4520,0.7353982300884956,0.6053097345132743,0.8654867256637168,2025
2025-07-01,2562,1593,2302,3895,5124,0.7601483216237315,0.6217798594847775,0.8985167837626854,2025
2025-08-01,2203,1348,2006,3354,4406,0.7612346799818429,0.6118928733545166,0.9105764866091693,2025
2025-09-01,2174,1488,2188,3676,4348,0.8454461821527139,0.6844526218951242,1.0064397424103035,2025
2025-10-01,1338,1521,2244,3765,2676,1.40695067264574,1.1367713004484306,1.6771300448430493,2025
2025-11-01,1658,1075,1634,2709,3316,0.8169481302774427,0.6483715319662243,0.985524728588661,2025
2025-12-01,2024,933,1449,2382,4048,0.5884387351778656,0.4609683794466403,0.7159090909090909,2025
2026-01-01,2339,1110,1704,2814,4678,0.6015391192817443,0.4745617785378367,0.728516460025652,2026
2026-02-01,1662,878,1368,2246,3324,0.6756919374247894,0.5282791817087846,0.8231046931407943,2026
2026-03-01,2045,1160,1755,2915,4090,0.7127139364303179,0.5672371638141809,0.8581907090464548,2026
2026-04-01,1935,1083,1642,2725,3870,0.7041343669250646,0.5596899224806201,0.8485788113695091,2026
2026-05-01,2133,1055,1626,2681,4266,0.6284575714955462,0.49460853258321613,0.7623066104078763,2026
2026-06-01,1887,586,870,1456,3774,0.3857975622681505,0.31054583995760465,0.4610492845786963,2026
