vehicle_class,baseline_month,baseline_premium,baseline_quota,quota_change_pct,demand_change_pct,estimated_price_change_pct,estimated_premium,estimated_dollar_change,low_using_holdout_mae,high_using_holdout_mae
Category A,2026-06,123847,1251,5.0,0.0,-0.75,122914,-933,118958,126869
Category A,2026-06,123847,1251,5.0,5.0,-0.07,123756,-91,119800,127711
Category A,2026-06,123847,1251,5.0,10.0,0.58,124564,717,120609,128519
Category A,2026-06,123847,1251,10.0,0.0,-1.47,122030,-1817,118075,125985
Category A,2026-06,123847,1251,10.0,5.0,-0.79,122866,-981,118911,126822
Category A,2026-06,123847,1251,10.0,10.0,-0.14,123669,-178,119713,127624
Category A,2026-06,123847,1251,20.0,0.0,-2.79,120395,-3452,116439,124350
Category A,2026-06,123847,1251,20.0,5.0,-2.12,121219,-2628,117264,125175
Category A,2026-06,123847,1251,20.0,10.0,-1.48,122011,-1836,118056,125967
Category B,2026-06,123502,883,5.0,0.0,-0.75,122571,-931,118616,126527
Category B,2026-06,123502,883,5.0,5.0,-0.07,123411,-91,119456,127366
Category B,2026-06,123502,883,5.0,10.0,0.58,124217,715,120262,128172
Category B,2026-06,123502,883,10.0,0.0,-1.47,121690,-1812,117735,125645
Category B,2026-06,123502,883,10.0,5.0,-0.79,122524,-978,118568,126479
Category B,2026-06,123502,883,10.0,10.0,-0.14,123324,-178,119369,127280
Category B,2026-06,123502,883,20.0,0.0,-2.79,120059,-3443,116104,124015
Category B,2026-06,123502,883,20.0,5.0,-2.12,120882,-2620,116926,124837
Category B,2026-06,123502,883,20.0,10.0,-1.48,121671,-1831,117716,125627
